GeneID,Uniprot,Synonyms,Target,PTM,Fluor,Species,Clone,Isotype,Reactivity,Vendor,Cat No,Channel,Expected,Hs_confidence,Hs_signoff,Mm_confidence,Mm_signoff,JRL_bio,SM_notes,SS_list,dil,expt_TON,sample_TON,cyc_TON,ch_TON,dil_TON,eval_TON,TMA_expt,TMA_sample,TMA_cyc,TMA_ch,,eval_TMA,other,sample,ch,cycle,note
,,,SRC,p_Y418,Phycoerythrin,xxx,SC1T2M3,xxx,,eBioscience,12-9034-41,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,cue,,,,,,CAJ_TMA8_10,TMA8,9,3,pSRC,100,,,,,
RPS6,P62753,,"S6, ribosomal protein",none,Alexa Fluor 555,xxx,54D2,xxx,,CST,6989S,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,cue,,,,,,CAJ_TMA8_10,TMA8,15,3,S6,200,,,,,
,,,Cyclin A,none,Phycoerythrin,,,,,Santa Cruz Biotechnologies,sc-271682 PE,,,in progress,,,,,,,,cued,,,,,,CAJ_TMA8_10,TMA8,14,3,Cyclin A,100,,,,,
MAPK3;MAPK1,P27361;P28482,p44/42 MAPK; ERK1;ERK2,ERK,p_T202/Y204,Alexa Fluor 488,rabbit,D13.14.4E,IgG,,CST,4344S,FITC/488,xxx,Level 2,,,,Level 2,Level 2 (discontinued),no comment,,x,,,,,,CAJ_TMA8_10,TMA8,11,2,ERKp,200,,,,,
BIRC5,O15392,,Survivin,none,Alexa Fluor 488,rabbit,71G4B7,IgG,,CST,2810S,FITC/488,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,x,,,,,,CAJ_TMA8_10,TMA8,15,2,Survivin,200,,,,,
TP53,P04637,p53,TP53,none,Alexa Fluor 488,xxx,9D3DE3,xxx,,Abcam,ab156030,FITC/488,xxx,Level 1,,,,no comment,no comment,May work,,x,,,,,,CAJ_TMA8_10,TMA8,16,2,TP53,200,,,,,
POU5F1,Q01860,OCT3;OCT4;OTF3,Oct_4,none,Alexa Fluor 555,xxx,EPR17929,xxx,,Abcam,ab210657,PE/555/Cy3,xxx,Level 1,,Level 0,,no comment,no comment,Works (seminoma),,x,,,,,,CAJ_TMA8_10,TMA8,16,3,OCT_4,200,,,,,
,,SAP,JNK,,Phycoerythrin,rabbit,G9,IgG,,CST,5755S,,,in progress,,,,,,,,,,,,,,CAJ_TMA8_10,TMA8,13,3,pSAP,100,,,,,
,,,MAP2,none,eFluor 570,xxx,AP20,xxx,,eBioscience,41-9763-80,PE/555/Cy3,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,x,,,,,,CAJ_TMA8_10,TMA9,17,3,MAP2,,ZM1_051_Nicole3,LP40,10,3,
CAT,P04040,,Catalase,none,Alexa Fluor 488,,,,,Abcam,ab185041,FITC/488,,in progress,,,,,,,1000,x,,,,,,CAJ_TMA8_10,TMA9,7,2,Catalase,1000,AM_TB,TB_B5;TB_C3_TB_E1,13,2,
STAT1,P42224,,STAT1,p_S727,Phycoerythrin,xxx,A15158B,xxx,,BioLegend,686403,PE/555/Cy3,xxx,Level 2,,,,Level 1,Level 1,Works,x,x,,,,,,CAJ_TMA8_10,TMA9,7,3,pSTAT1-727,300,AM_TB,TB_B5;TB_C3_TB_E1,15,3,
,,,TLR1,none,Phycoerythrin,mouse,GD2.F4,IgG1,,Abcam,ab171565,PE/555/Cy3,,in progress,,,,,,,x,cue,,,,,,CAJ_TMA8_10,TMA9,11,3,TLR1,200,,,,,
,,N-cadherin,NCad,none,Alexa Fluor 488,xxx,8C11,xxx,,BioLegend,350809,FITC/488,xxx,Level 2,,,,Level 2,Level 2,May work,x,cue,,,,,,CAJ_TMA8_10,TMA9,15,2,NCAD,100,,,,,
,,,TLR7,none,none,rabbit,EPR2088(2),IgG,,Abcam,ab124928,"primary, rabbit",,in progress,,,,,,,x,x,,,,,,CAJ_TMA8_10,TMA9,3,2,TLR7,100,,,,,
,,,NDRG1,p_T436,Alexa Fluor 488,xxx,D98G11,xxx,,CST,6992S,FITC/488,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,x,,,,,,CAJ_TMA8_10,TMA9,11,2,pNDRG1,100,,,,,
,,,GFAP,none,eFluor 570,xxx,GA5,xxx,,eBioscience,41-9892-80,PE/555/Cy3,xxx,Level 3,DuZ_ImmuneProfiling,,,Level 2,Level 2,Works,x,x,,,,,,CAJ_TMA8_10,TMA9,16,3,GFAP,200,,,,,
MME,P08473,MME; Neprilysin,CD10,,FITC,mouse,SN5c,IgG1,,Invitrogen,MA5-16943,FITC/488,"Neprilysin, B-cell lineage, leukemias, ALL (diasnostic)",Level 1,,,,no comment,no comment,Works (assuming this is the antibody 8011-0108-1200 from Thermo that Sandro referred to),,,,,,,,CAJ_TMA8_10,TMA9,16,2,CD10,100,,,,,
EMD,P50402,,Emerin,,Alexa Fluor 647,mouse,H-12,IgG2b,,Santa Cruz Biotechnologies,sc-25284 AF647,,,in progress,,,,,,,,,,,,,,CAJ_TMA8_10,TMA9,16,4,Emerin,200,,,,,
NECTIN1,Q15223,,Nectin 1,,Alexa Fluor 647,mouse,CK6,IgG1,,Santa Cruz Biotechnologies,sc-21722 AF647,,,in progress,,,,,,,,,,,,,,CAJ_TMA8_10,TMA9,17,4,Nectin1,100,,,,,
,,,CD3E,none,none,rabbit,polyclonal,IgG,,Dako,A0452,"primary, rabbit",T-cells,Level 2,,,,Level 2,Level 2,JERRY,300,x,,,,,,x,,,,,,ZM2_009_VIGNESH,ALL_ALK1,3,2,CD3:600
,Q15910,,EZH2,none,Alexa Fluor 488,rabbit,EPR9307(2),IgG ,,Abcam,ab225362,FITC/488,,,,,,,,,500,cue,,,,,,x,,,,,,ZM2_029_ALL2,ALL2,13,2,
PDCD1,Q15116,PD1,CD279,none,none,rabbit,D4W2J,IgG,,CST,86163S,"primary, rabbit",xxx,Level 2,,,,Level 2,Level 2,Works,100,cue,,,,,,x,,,,,,ZM1_059_Nicole4,BP10,4,2,
PDCD1,Q15116,PD1,CD279,none,Alexa Fluor 488,mouse,NAT105,IgG1,,Abcam,ab195885,FITC/488,xxx,Level 1,,,,no comment,no comment,Works,,cue,,,,,,cued,,,,,,ZM1_051_Nicole3,LP40,14,2,
,,B220,CD45R,none,Alexa Fluor 647,rat,RA3-6B2,IgG2a,,BioLegend,103229,647/Cy5,"B-cells, also on subset of T-cells and DCs",Level 2,,,,Level 2,Level 2,JERRY,x,cue,,,,,,same as 103226,,,,,,ZM1_051_Nicole3,LP40,11,4,
PDCD1,Q15116,PD1,CD279,none,Alexa Fluor 488,mouse,EH12.2H7,IgG1,,BioLegend,329935,FITC/488,xxx,Level 0,,,,Level 0,Level 0,no comment,,x,,,,,,x,,,,,,ZM1_037_Nicole1,LP40,5,2,
NCAM1,P13591,NCAM,CD56,none,Alexa Fluor 488,mouse,HCD56,IgG1,,BioLegend,318311,FITC/488,,,,,,,,,x,x,,,,,,x,,,,,,ZM1_037_Nicole1,LP40,12,2,
FOXP3,Q9BZS1,IPEX;Scurfin,FOXP3,none,Alexa Fluor 488,mouse,150D,IgG1,,BioLegend,320011,FITC/488,xxx,Level 0,,,,Level 0,no comment,Didn't work,x,x,,,,,,x,,,,,,ZM1_037_Nicole1,LP40,7,2,
SOX2,P48431,,SOX2,none,Alexa Fluor 488,mouse,14A6A34,IgG1,,BioLegend,656109,FITC/488,xxx,Level 0,,,,Level 0,Level 0,no comment,x,x,,,,,,x,,,,,,ZM1_051_Nicole3,LP40,15,2,
GZMB,P10144,CTLA1;CGL1;CSPB; Granzyme B,GzB,none,Alexa Fluor 647,mouse,GB11,IgG1,,BioLegend,515405,647/Cy5,xxx,Level 0,,,,Level 0,Level 0,no comment,x,x,,,,,,x,,,,,,ZM1_037_Nicole1,LP40,13,4,
CDH1,P12830,CD324,ECad,none,FITC,mouse,67A4,IgG1,,BioLegend,324103,FITC/488,xxx,Level 0,,,,Level 0,Level 0,no comment,x,x,,,,,,x,,,,,,ZM1_037_Nicole1,LP40,11,2,
RB1,P06400,,Rb,p_S807/811,none,goat,polyclonal,IgG,,Santa Cruz Biotechnologies,SC-16670,"primary, goat",xxx,Level 2,,,,Level 2,Level 2,no comment,,x,,,,,,x,,,,,,ZM1_037_Nicole1,LP40,4,3,
CD8A,P01732,,CD8A,none,none,mouse,C8/144B,IgG1,,Dako,M7103,"primary, mouse","T-cells, innate immune cells",Level 2,,,,Level 2,Level 2,JERRY,,x,,,,,,x,,,,,,ZM1_037_Nicole1,LP40,4,4,
CD163,Q86VB7,Hemoglobin scavenger receptor,CD163,none,none,rabbit,xxx,IgG,,Abcam,ab87099,"primary, rabbit","CD14+ or CD33+ myeloid, some on DC",Level 1,,,,no comment,no comment,Works,,x,,,,,,x,,,,,,ZM1_051_Nicole3,LP40,5,2,
CD14,P08571,Secondary LPS receptor with TLR4,CD14,none,Phycoerythrin,mouse,61D3,IgG1,,eBioscience,12-0149-41,PE/555/Cy3,,Level 1,,,,Level 1,Level 1,no comment,x,x,,,,,,x,,,,,,ZM1_037_Nicole1,LP40,10,3,
CTLA4,P16410,CTLA4,CD152,none,Phycoerythrin,mouse,BNI3,IgG2a,,BioLegend,369603,PE/555/Cy3,activated T-cells,Level 0,,,,Level 0,Level 0,no comment,x,x,,,,,,x,,,,,,ZM1_037_Nicole1,LP40,12,3,
CD207,Q9UJ71,Langerin;CLEC4K,CD207,none,Phycoerythrin,mouse,4C7,IgG2a,,BioLegend,144203,PE/555/Cy3,,,,,,,,,x,x,,,,,,x,,,,,,ZM1_051_Nicole3,LP40,11,3,
NCAM1,P13591,NCAM,CD56,none,Phycoerythrin,mouse,MEM-188,IgG2a,,BioLegend,304605,PE/555/Cy3,,,,,,,,,x,x,,,,,,x,,,,,,ZM1_037_Nicole1,LP40,13,3,
CD274,Q9NZQ7,PDL1;B7H1,CD274_h,none,Phycoerythrin,mouse,29E.2A3,IgG2b,,BioLegend,329705,PE/555/Cy3,xxx,Level 1,,,,Level 1,Level 1,Didn't work,x,x,,,,,,x,,,,,,ZM1_051_Nicole3,LP40,8,3,
,multiple,,CK_pan,none,eFluor 570,mouse,AE1/AE3,IgG1,,eBioscience,41-9003-80,PE/555/Cy3,,XXX is this correct?,,,,,,,x,,,,,,,x,,,,,,ZM1_037_Nicole1,LP40,11,3,
VIM,P08670,,Vimentin,none,Alexa Fluor 647,rabbit,D21H3,IgG,,CST,9856S,647/Cy5,,,,,,,,,x,cue,,,,,,cued,,,,,,ZM2_003_AZ_SMINT,SMINT1;SMINT2,6,4,
TBK1,Q9UHD2,NAK,TBK1,p_S172,Alexa Fluor 488,rabbit,D52C2,IgG,,CST,14586S,FITC/488,xxx,in progress,,Level 0,,no comment,no comment,no comment,"stains pCycIF, maybe tonsil (TON5 097)",x,,,,,,x,,,,,,AM_TB,TB_B5;TB_C3_TB_E1,6,2,
MAP1LC3A;MAP1LC3B;MAP1LC3C,Q9H492;Q9GZQ8;Q9BXW4,,LC3,none,Alexa Fluor 647,rabbit,D3U4C,IgG,,CST,13394S,647/Cy5,xxx,Level 1,,,,no comment,no comment,Works (treated crios),x,x,,,,,,x,,,,,,AM_TB,TB_B5;TB_C3_TB_E1,7,4,
,,,P50,none,none,rabbit,D4P4D,IgG,,CST,13586S,"primary, rabbit",,,,,,,,,x,x,,,,,,x,,,,,,AM_TB,TB_B5;TB_C3_TB_E1,15,2,
,none,,none (tuberculosis),none,none,,,,,BioCare,CP 140 A,,,,,,,,,,x,x,,,,,,x,,,,,,AM_TB,TB_B5;TB_C3_TB_E1,3,2,
ITGAX,P20702,ITGAX; Integrin alpha X,CD11C,none,APC,mouse,Bu15,IgG1,,BioLegend,337207,647/Cy5,,,,,,,,,x,cue,,,,,,cued,,,,,,ZM2_011_Vignesh,Thymus,7,3,
PGR,P06401,Progesterone Receptor,PR,none,Alexa Fluor 594,xxx,YR85,xxx,,Abcam,ab207855,PE/555/Cy3,xxx,Level 1,,,,no comment,no comment,Works,,x,,,,,,x,,,,,,ZM2_009_VIGNESH,Thymus,9,3,
